rank,name,owner,description,language,stars,stars_since,forks,topics,url,crawl_time,since,page
15,chef/chef,chef,"Chef Infra, a powerful automation platform that transforms infrastructure into code automating how infrastructure is configured, deployed and managed across any environment, at any scale",Ruby,8181,0,2526,,https://github.com/chef/chef,2026-05-25T11:36:29.053911+00:00,daily,ruby
16,onetimesecret/onetimesecret,onetimesecret,Keep passwords and other sensitive information out of your inboxes and chat logs.,Ruby,2818,0,441,,https://github.com/onetimesecret/onetimesecret,2026-05-25T11:36:29.054578+00:00,daily,ruby
17,postalserver/postal,postalserver,📮 A fully featured open source mail delivery platform for incoming & outgoing e-mail,Ruby,16552,5,1241,,https://github.com/postalserver/postal,2026-05-25T11:36:29.055357+00:00,daily,ruby
18,github-linguist/linguist,github-linguist,"Language Savant. If your repository's language is being reported incorrectly, send us a pull request!",Ruby,13484,3,5191,,https://github.com/github-linguist/linguist,2026-05-25T11:36:29.056178+00:00,daily,ruby
1,jellyfin/jellyfin,jellyfin,The Free Software Media System - Server Backend & API,C#,52154,122,4847,,https://github.com/jellyfin/jellyfin,2026-05-25T11:36:32.372877+00:00,daily,c%23
2,memstechtips/Winhance,memstechtips,"Application designed to optimize, customize and enhance your Windows experience.",C#,10452,132,528,,https://github.com/memstechtips/Winhance,2026-05-25T11:36:32.374146+00:00,daily,c%23
3,MiniMax-AI/skills,MiniMax-AI,,C#,12094,31,1032,,https://github.com/MiniMax-AI/skills,2026-05-25T11:36:32.375090+00:00,daily,c%23
4,Polytoria/polytoria-game,Polytoria,"Polytoria, a multiplayer gaming platform built with Godot and .NET",C#,194,5,82,,https://github.com/Polytoria/polytoria-game,2026-05-25T11:36:32.375830+00:00,daily,c%23
5,bitwarden/server,bitwarden,"Bitwarden infrastructure/backend (API, database, Docker, etc).",C#,18857,45,1631,,https://github.com/bitwarden/server,2026-05-25T11:36:32.377485+00:00,daily,c%23
6,Jackett/Jackett,Jackett,API Support for your favorite torrent trackers,C#,15466,12,1511,,https://github.com/Jackett/Jackett,2026-05-25T11:36:32.378345+00:00,daily,c%23
7,PCL-Community/PCL-CE,PCL-Community,PCL 社区版 由社区开发者维护与管理,C#,3830,11,90,,https://github.com/PCL-Community/PCL-CE,2026-05-25T11:36:32.379150+00:00,daily,c%23
8,dotnet/roslyn,dotnet,The Roslyn .NET compiler provides C# and Visual Basic languages with rich code analysis APIs.,C#,20434,1,4263,,https://github.com/dotnet/roslyn,2026-05-25T11:36:32.380170+00:00,daily,c%23
9,microsoft/PowerToys,microsoft,Microsoft PowerToys is a collection of utilities that supercharge productivity and customization on Windows,C#,133475,44,8008,,https://github.com/microsoft/PowerToys,2026-05-25T11:36:32.383095+00:00,daily,c%23
10,seerge/g-helper,seerge,"Lightweight Armoury Crate alternative for Asus laptops with nearly the same functionality. Works with ROG Zephyrus, Flow, TUF, Strix, Scar, ProArt, Vivobook, Zenbook, Expertbook, ROG Ally, and many more.",C#,13310,27,497,,https://github.com/seerge/g-helper,2026-05-25T11:36:32.383955+00:00,daily,c%23
11,BepInEx/BepInEx,BepInEx,Unity / XNA game patcher and plugin framework,C#,7881,6,831,,https://github.com/BepInEx/BepInEx,2026-05-25T11:36:32.385093+00:00,daily,c%23
12,Seafoam-Labs/Shelly-ALPM,Seafoam-Labs,"Pacman alternative for ArchLinux, designed with you in mind.",C#,585,6,43,,https://github.com/Seafoam-Labs/Shelly-ALPM,2026-05-25T11:36:32.385834+00:00,daily,c%23
